asn,name,orig_prefix,orig_prefix_len,net24,target_ip,ptr,ping,score,reason
4780,SEEDNet,106.106.230.0/24,24,106.106.230.0/24,106.106.230.1,106.106.230.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.236.0/24,24,106.106.236.0/24,106.106.236.1,106.106.236.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.237.0/24,24,106.106.237.0/24,106.106.237.1,106.106.237.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.238.0/24,24,106.106.238.0/24,106.106.238.1,106.106.238.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.244.0/24,24,106.106.244.0/24,106.106.244.1,106.106.244.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.245.0/24,24,106.106.245.0/24,106.106.245.1,106.106.245.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.246.0/24,24,106.106.246.0/24,106.106.246.1,106.106.246.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.252.0/24,24,106.106.252.0/24,106.106.252.1,106.106.252.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.253.0/24,24,106.106.253.0/24,106.106.253.1,106.106.253.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.106.254.0/24,24,106.106.254.0/24,106.106.254.1,106.106.254.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.107.183.0/24,24,106.107.183.0/24,106.107.183.1,106.107.183.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.107.184.0/24,24,106.107.184.0/24,106.107.184.1,106.107.184.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.107.190.0/24,24,106.107.190.0/24,106.107.190.1,106.107.190.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.107.191.0/24,24,106.107.191.0/24,106.107.191.1,106.107.191.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.107.233.0/24,24,106.107.233.0/24,106.107.233.1,106.107.233.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.107.241.0/24,24,106.107.241.0/24,106.107.241.1,106.107.241.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
4780,SEEDNet,106.107.248.0/24,24,106.107.248.0/24,106.107.248.1,106.107.248.1.adsl.dynamic.seed.net.tw,False,130.0,base_prflen=24;ptr
